Variables,Coef,AbsCoef
TYPE_SOCIETE_Self-employed,0.16813565538548753,0.16813565538548753
TYPE_SOCIETE_Postal,0.09296347700695037,0.09296347700695037
TYPE_SOCIETE_Trade: type 3,0.08422670815084532,0.08422670815084532
TYPE_SOCIETE_Business Entity Type 2,0.03177481435553998,0.03177481435553998
TYPE_SOCIETE_Kindergarten,0.030287891972206434,0.030287891972206434
TYPE_SOCIETE_Agriculture,0.04854187645283107,0.04854187645283107
TYPE_SOCIETE_Bank,-0.20472756136852824,0.20472756136852824
TYPE_SOCIETE_Hotel,-0.12811030297486242,0.12811030297486242
TYPE_SOCIETE_Trade: type 7,0.1013359732916711,0.1013359732916711
TYPE_SOCIETE_Transport: type 3,0.3767485579205678,0.3767485579205678
TYPE_SOCIETE_Services,0.0475618372151756,0.0475618372151756
TYPE_SOCIETE_University,-0.2007739748878568,0.2007739748878568
TYPE_SOCIETE_Medicine,-0.033701205256488426,0.033701205256488426
TYPE_SOCIETE_Industry: type 3,0.09121219041344622,0.09121219041344622
TYPE_SOCIETE_Legal Services,0.10614561157456966,0.10614561157456966
TYPE_SOCIETE_Realtor,0.21049308784466045,0.21049308784466045
TYPE_SOCIETE_Industry: type 7,0.05174781988578041,0.05174781988578041
TYPE_SOCIETE_Electricity,-0.06107865400650646,0.06107865400650646
TYPE_SOCIETE_Restaurant,0.15640421701966525,0.15640421701966525
TYPE_SOCIETE_Military,-0.2906972625965994,0.2906972625965994
TYPE_SOCIETE_Industry: type 2,-0.10245683631800712,0.10245683631800712
TYPE_SOCIETE_Industry: type 1,0.10267107680542154,0.10267107680542154
TYPE_SOCIETE_Cleaning,-0.08678658809142814,0.08678658809142814
TYPE_SOCIETE_Industry: type 12,-0.1374864826719799,0.1374864826719799
TYPE_SOCIETE_Trade: type 2,-0.18274496918860889,0.18274496918860889
TYPE_SOCIETE_Advertising,0.08167739756193579,0.08167739756193579
TYPE_SOCIETE_Trade: type 6,-0.08795040507844307,0.08795040507844307
TYPE_SOCIETE_Mobile,0.06860431880356302,0.06860431880356302
A_FOURNI_LE_DOCUMENT_3_Non,0.09886949095151082,0.09886949095151082
A_FOURNI_LE_DOCUMENT_3_Oui,-0.10107339985587936,0.10107339985587936
A_FOURNI_LE_DOCUMENT_6_Oui,-0.09568231495874104,0.09568231495874104
A_FOURNI_LE_DOCUMENT_6_Non,0.09347840605435766,0.09347840605435766
A_FOURNI_LE_DOCUMENT_7_Oui,-0.05567226998838848,0.05567226998838848
A_FOURNI_LE_DOCUMENT_7_Non,0.05346836108401257,0.05346836108401257
A_FOURNI_LE_DOCUMENT_11_Oui,0.10289676296011796,0.10289676296011796
A_FOURNI_LE_DOCUMENT_11_Non,-0.10510067186449285,0.10510067186449285
A_FOURNI_LE_DOCUMENT_13_Oui,0.23641081762098085,0.23641081762098085
A_FOURNI_LE_DOCUMENT_13_Non,-0.23861472652535914,0.23861472652535914
A_FOURNI_LE_DOCUMENT_14_Oui,0.21854516919298086,0.21854516919298086
A_FOURNI_LE_DOCUMENT_14_Non,-0.22074907809735692,0.22074907809735692
A_FOURNI_LE_DOCUMENT_15_Oui,0.12195585978253524,0.12195585978253524
A_FOURNI_LE_DOCUMENT_15_Non,-0.12415976868691228,0.12415976868691228
A_FOURNI_LE_DOCUMENT_16_Oui,0.18572527954944318,0.18572527954944318
A_FOURNI_LE_DOCUMENT_16_Non,-0.1879291884538207,0.1879291884538207
A_FOURNI_LE_DOCUMENT_17_Oui,0.09731862617743345,0.09731862617743345
A_FOURNI_LE_DOCUMENT_17_Non,-0.09952253508181322,0.09952253508181322
A_FOURNI_LE_DOCUMENT_18_Oui,0.16591713384849446,0.16591713384849446
A_FOURNI_LE_DOCUMENT_18_Non,-0.16812104275287085,0.16812104275287085
A_FOURNI_LE_DOCUMENT_20_Oui,-0.10470467314186716,0.10470467314186716
A_FOURNI_LE_DOCUMENT_20_Non,0.1025007642374886,0.1025007642374886
A_FOURNI_LE_DOCUMENT_21_Oui,-0.007353694256356642,0.007353694256356642
A_FOURNI_LE_DOCUMENT_21_Non,0.0051497853519783246,0.0051497853519783246
family_members_more7_Non,-0.10990283945527039,0.10990283945527039
family_members_more7_Oui,0.10769893055088837,0.10769893055088837
islowskilled_labour_Non,-0.10497760310446856,0.10497760310446856
islowskilled_labour_Oui,0.10277369420009315,0.10277369420009315
cnt_childern_more6_Non,-0.026050917616184506,0.026050917616184506
cnt_childern_more6_Oui,0.023847008711803484,0.023847008711803484
NOMBRE_D_ENFANTS,0.024563662080029358,0.024563662080029358
REVENUS_CLIENTS,0.39750161956036834,0.39750161956036834
MONTANT_CREDIT,0.25044510205596754,0.25044510205596754
MONTANT ANNUITE,0.015686298036374457,0.015686298036374457
PRIX_DU_BIEN,-0.35489480502517257,0.35489480502517257
POPULATION_DE_LA_REGION_NORMALISEE,0.011921279430963105,0.011921279430963105
AGE,-0.06962494468328403,0.06962494468328403
EMPLOYE DEPUIS,0.1253183568479181,0.1253183568479181
NOMBRE_DE_JOURS_DEPUIS_MISE_A_JOUR_PAPIERS,0.030390398225284797,0.030390398225284797
NOMBRE_DE_JOURS_DEPUIS_CHANGEMENT_PAPIERS_IDENTITE,0.1069726277777664,0.1069726277777664
MEMBRES_DE_LA_FAMILLE,-0.028270290363256644,0.028270290363256644
NOTE_REGION,-0.06413751993953311,0.06413751993953311
NOTE_REGION_AVEC_PRISE_EN_COMPTE_DE_LA_VILLE,0.14674666129808991,0.14674666129808991
SCORE_SOURCE_EXTERIEURE_1_NORMALISE,-0.13809246562625338,0.13809246562625338
SCORE_SOURCE_EXTERIEURE_2_NORMALISE,-0.2479993888998913,0.2479993888998913
SCORE_SOURCE_EXTERIEURE_3_NORMALISE,-0.38858440122419896,0.38858440122419896
NOMBRE_DEFAUTS_30_DPD_OBSERVES_DANS_CERCLE_SOCIAL,0.047302865530996385,0.047302865530996385
NOMBRE_DEFAUTS_60_DPD_OBSERVES_DANS_CERCLE_SOCIAL,0.03422679249980237,0.03422679249980237
NOMBRE_JOURS_DEPUIS_CHANGEMENT_NUM_TELEPHONE,-0.0678901168396059,0.0678901168396059
AMT_REQ_CREDIT_BUREAU_WEEK,-0.010120852422677013,0.010120852422677013
